sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
15.42,16.14,34.38,0.0,-2.19,3.127,2.922195486493822,2.902682513036956,-0.06549552718457877,-0.07173568498978056
7.09,6.42,41.2,0.02,-2.02,2.155,1.3385103350621692,1.29140054223751,-0.3788815150523576,-0.4007422077784175
16.06,16.54,36.01,0.0,-2.17,3.489,3.0440848990332636,3.0237316198808144,-0.1275193754562156,-0.13335293210638735
257.7,158.81,54.12,0.06,-2.02,55.66,49.51279962445932,30.771876778235757,-0.11044197584514333,-0.44714558429328494
9.39,7.32,47.83,0.11,-1.9,1.907,1.7751600551153257,1.6996407908989237,-0.06913473774760058,-0.10873582018934258
8.57,6.32,50.66,0.13,-1.82,1.428,1.6194172729300544,1.57505576964134,0.13404570933477206,0.10298023084127463
6.07,6.28,33.41,0.02,-2.14,1.433,1.1450763688733587,1.1426615206672404,-0.2009236783856534,-0.20260884810380997
3.95,3.82,39.38,0.01,-2.02,0.732,0.7435853018316162,0.7303811095178959,0.015826915070513953,-0.0022115990192678454
8.76,9.15,35.48,0.01,-2.14,1.449,1.6554977745881505,1.7022162919925095,0.14251054146870284,0.17475244443927493
11.14,9.15,47.33,0.1,-1.93,2.122,2.1077538967584815,2.056087630689485,-0.006713526504014339,-0.031061436998357696
5.6,5.22,42.68,0.04,-1.98,0.977,1.055997049535822,1.087234256940377,0.08085675489848719,0.11282933156640433
8.06,8.39,33.52,0.01,-2.16,1.531,1.5225891913461809,1.5453528741966773,-0.005493669924114335,0.009374836183329465
24.02,25.93,35.28,-0.01,-2.21,4.519,4.561826668251152,4.93090375437691,0.00947702329080593,0.09114931497608098
8.49,8.09,43.0,0.04,-2.01,1.372,1.6042266475369058,1.689234169530352,0.1692614049102811,0.23122024018247228
4.52,4.27,39.44,0.01,-2.03,1.053,0.8514483064684154,0.8246075347878749,-0.19140711636427782,-0.21689692802670948
8.55,8.12,41.08,0.02,-2.04,2.046,1.6156195513463676,1.618774038619846,-0.210352125441658,-0.20881034280554933
15.51,15.87,33.14,0.01,-2.2,3.006,2.9393347140628037,2.8595553592963605,-0.0221774071647359,-0.04871744534385871
5.13,5.54,35.4,0.01,-2.11,1.055,0.9669543097725378,1.0244651465784949,-0.08345563054735745,-0.0289429890251233
16.74,18.22,32.74,0.0,-2.22,3.258,3.1736184032534664,3.230222407336908,-0.0258998148393289,-0.00852596459886184
4.05,4.54,31.03,0.04,-2.15,1.137,0.7625034232945498,0.7868591334506747,-0.32937253887902396,-0.3079515097179642
5.58,5.9,28.9,0.04,-2.19,0.761,1.05220722992286,1.046033436763011,0.38266390265816025,0.3745511652601985
5.58,6.16,32.83,0.02,-2.15,0.939,1.05220722992286,1.089175538141593,0.12056148021603838,0.15993135052352836
18.44,18.12,39.25,0.0,-2.13,2.71,3.497562562927838,3.4821951179917114,0.2906134918552908,0.2849428479674212
3.96,4.24,29.87,0.04,-2.16,0.847,0.7454770095975963,0.7543174461595639,-0.11986185407603736,-0.10942450276320674
5.54,6.13,30.97,0.03,-2.17,0.789,1.0446277901230154,1.084203811623653,0.3239895945792337,0.3741493176472154
5.48,5.92,28.82,0.04,-2.19,1.398,1.0332591325792346,1.0463721215084534,-0.2609019080262985,-0.25152208761913203
6.37,7.15,30.31,0.03,-2.19,1.595,1.2019533180159985,1.262360502886068,-0.24642425202758717,-0.20855140884886014
19.02,11.99,55.83,0.05,-1.73,3.825,3.6081188055531817,3.7121695309117695,-0.056700965868449284,-0.029498161853132206
41.73,40.89,38.46,-0.01,-2.2,8.675,7.9466973402138965,8.231168637119733,-0.08395419709349904,-0.05116211675853227
4.34,4.47,37.21,0.01,-2.07,0.678,0.8173786953397832,0.8487710191937426,0.20557329696133214,0.2518746595777914
4.14,4.39,23.7,0.06,-2.23,0.763,0.7795316866914219,0.7532789657340165,0.021666692911431074,-0.012740542943621855
4.64,4.73,35.11,0.02,-2.1,1.109,0.8741650822487992,0.855281306801952,-0.21175375811650207,-0.2287815087448584
52.3,54.18,35.97,-0.01,-2.25,10.945,9.97055334848009,10.27813240556511,-0.08903121530561081,-0.06092897162493289
26.37,17.08,54.56,0.07,-1.8,6.265,5.0104190742658945,4.9542841332840934,-0.20025234249546772,-0.20921242884531624
8.59,9.02,36.03,0.01,-2.13,1.787,1.6232150378355443,1.6714539353966078,-0.09165358822857056,-0.0646592415240023
3.58,2.92,47.13,0.12,-1.84,0.965,0.6736090932803886,0.6631486208653465,-0.3019594888286128,-0.31279935661622116
10.16,9.96,36.01,0.0,-2.14,1.64,1.9214670417157067,1.8738992469856657,0.1716262449486017,0.14262149206443037
17.05,13.73,48.88,0.11,-1.92,2.963,3.232679042420065,3.3096023494251643,0.09101553912253284,0.11697683072060891
9.89,9.89,34.02,0.01,-2.16,1.976,1.8701582016426668,1.7659586132973863,-0.05356366313630223,-0.1062962483312822
26.72,29.28,19.99,0.01,-2.36,4.234,5.077247872810973,4.766114937457772,0.1991610469558273,0.125676650320683
9.3,9.87,31.12,0.02,-2.2,1.464,1.7580629772789034,1.71117172865409,0.20086268939815807,0.16883314798776639
5.21,5.31,37.95,0.01,-2.07,0.693,0.9821078010448994,1.0010654853064371,0.417182974090764,0.44453893983612874
5.39,5.01,41.89,0.03,-1.99,1.016,1.0162072891523868,1.0249154035544177,0.00020402475628619022,0.008775003498442586
7.4,5.85,48.24,0.12,-1.87,1.19,1.3973270272019536,1.3811392376221194,0.1742243926066837,0.1606212080858147
6.3,5.99,41.21,0.02,-2.02,1.836,1.1886808354854375,1.1848047456659518,-0.3525703510427901,-0.35468151107518964
13.06,10.64,47.81,0.1,-1.93,2.293,2.4729506092628064,2.5127221905722905,0.07847824215560674,0.09582302249118638
4.05,3.97,39.52,0.01,-2.02,1.154,0.7625034232945498,0.7669105750859502,-0.3392517995714473,-0.3354327772218802
7.72,8.83,24.1,0.04,-2.26,1.578,1.458053664211173,1.4980245598390949,-0.07601161963803997,-0.05068152101451533
5.69,4.78,46.64,0.1,-1.89,0.743,1.0730520531584282,1.0900129335856672,0.444215414748894,0.46704297925392624
